Country Name,Country Code,"Unemployment, total (% of total labor force) (modeled ILO estimate)","School enrollment, secondary (% net)","School enrollment, primary (% net)","School enrollment, tertiary (% gross)",World Development Indicators,Access to electricity (% of population),GDP per capita (current US$),"Mortality rate, under-5 (per 1,000 live births)","Life expectancy at birth, total(years)",CO2 emissions (metric tons per capita),"Annual freshwater withdrawals, total (% of internal resources)",Rail lines (total route-km),Net migration,Democracy index
Montenegro,MNE,"17,73","90,0534","93,6027","56,30241013","2,949280321","99,5997543","7033,43801","46,1","65,737","0,096221","5,530364",249,-2111,"5,72"
Mongolia,MNG,"7,24",,"97,8207","63,44260788","1,489784485","90,8075485","3690,75678","18,4","72,54","1,20023",..,1810,7470,"6,62"
Northern Mariana Islands,MNP,,,,,"29,21212121",100,"24054,9156","2,1",..,..,..,,-852,
Mozambique,MOZ,"3,454",,"90,7664","7,387899876","3,824214319","26,2185955","430,992945","21,4","67,492","0,628934","1,876147",,77168,"4,02"
Mauritania,MRT,"10,308","27,4611","73,1129","5,549109936","1,260909224","41,2455101","1579,1993","8,6","77,064","16,7951","929,5833",728,-3009,"3,96"
Mauritius,MUS,"6,81","84,3063","94,9408","38,97584152","3,862468263","99,6927948","9965,72522","48,4","67,497","0,686906","9,533308",,-2558,"8,28"
Malawi,MWI,"4,982","32,9572",,,"2,499999999",11,"454,443266","6,1","75,68780488","6,607094","55,98906",,-5498,"5,55"
Malaysia,MYS,"3,44","73,4011","99,8206","46,40166855","4,449781398","99,9","9555,64733","14,6","74,3097561","5,973996",..,,97737,"6,54"
North America,NAC,"5,102217148","92,7918","95,4888","86,98187256","1,61424654",100,"56312,4349","126,1","58,404","0,156233","0,132625",,1769865,
Namibia,NAM,"23,35",,,"22,00239944","0,03379445","49,7","4614,89218","2,7","82,84634146","8,019891","84,96667",,-8596,"6,31"
New Caledonia,NCL,"13,182",,,,,100,"32286,9106",..,"76,598",..,..,,-2346,
Niger,NER,"0,534",,"63,5705","3,419039965","5,740893151","16,973978","497,036121","6,1","77,16585366","5,799847","4,407143",,14833,"3,96"
